Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,Unnamed: 25,Unnamed: 26
,,33.986,-116.046,33.986,,1.777,,,,,,,,,America_North,Yan2007,Stephenson 2024,Hk,-,,,,,,,
,,33.99,-97.18,37.0,,1.61,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.99,-78.87,30.0,,1.6,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,33.99,-6.86,36.0,,1.79,,,,,,,,,Africa,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,33.99,57.23,40.5,,1.74,,,,,,,,,Middle_East,Motaghi2012,Stephenson 2024,Hk,-,,,,,,,
,,33.99351,-117.37545,31.4,,-,,,,,,,,,America_North,Persaud2007,Stephenson 2024,Hk,-,,,,,,,
,,33.995,-119.635,32.3,,1.75,,,,,,,,,America_North,Uranbaigal2014,Stephenson 2024,Hk,-,,,,,,,
,,33.99543,-119.635101,28.0,,1.7675,,,,,,,,,America_North,Ma2017,Stephenson 2024,Hk,-,,,,,,,
,,33.999,-115.917,33.999,,1.775,,,,,,,,,America_North,Yan2007,Stephenson 2024,Hk,-,,,,,,,
,,34.0,-119.64,44.0,,1.6,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.0,-118.01,31.0,,1.68,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.0,-116.0,28.0,,1.78,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.0,-99.44,27.0,,1.74,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.0,-97.27,52.0,,1.87,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.0,-78.22,29.0,,2.1,,,,,,,,,America_North,EARS,Stephenson 2024,Hk,,,,,,,,
,,34.0,88.0,71.0,,1.76,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,88.5,62.5,,1.82,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,91.5,75.5,,1.74,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,92.0,73.0,,1.75,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,92.5,69.5,,1.76,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,95.0,67.3,,1.8,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,96.5,66.0,,1.74,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,97.0,66.0,,1.74,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,97.5,68.5,,1.74,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,98.0,63.8,,1.72,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,102.1,59.0,,1.763,,,,,,,,,Asia_China,Pan2011,Stephenson 2024,Hk,-,,,,,,,
,,34.0,108.5,35.5,,1.76,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
,,34.0,108.9,35.0,,1.685,,,,,,,,,Asia_China,Pan2011,Stephenson 2024,Hk,-,,,,,,,
,,34.0,109.5,34.5,,1.76,,,,,,,,,Asia_China,Cheng2022,Stephenson 2024,Hk,-,,,,,,,
