Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,Unnamed: 25,Unnamed: 26
,,-30.23,130.89,36.5,,-,,,,,,,,,GSC_global_database,64D.1,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-30.23,130.89,38.8,,-,,,,,,,,,GSC_global_database,58B.2,Stephenson 2024,Refraction,S_unreversed,,,,,,,
,,-29.98,23.14,36.5,,1.71,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-29.98,23.14,37.0,,1.71,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-29.9,25.03,36.5,,1.76,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-29.9,25.03,36.0,,1.79,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-29.87,24.02,36.5,,-,,,,,,,,,Africa,Kgaswane2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-29.87,24.02,34.2,,1.71,,,,,,,,,Africa,Nair2006,Stephenson 2024,Hk,-,,,,,,,
,,-29.87,24.02,34.0,,1.74,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-29.85,22.25,43.0,,1.76,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-29.85,22.25,44.0,,1.73,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-29.43,147.98,48.0,,1.7,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-29.43,147.98,40.0,,1.8,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-29.07,116.04,40.4,,1.742,,,,,,,,,Australia,Yuan2015,Stephenson 2024,Hk,-,,,,,,,
,,-29.07,116.04,40.0,,1.75,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-29.02,26.2,38.21,,1.76,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-29.02,26.2,34.0,,1.8,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-28.93,23.23,38.5,,1.67,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-28.93,23.23,40.0,,1.66,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-28.91,24.83,36.5,,1.7,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-28.91,24.83,37.0,,1.69,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-28.63,24.31,36.5,,1.735,,,,,,,,,Africa,Nair2006,Stephenson 2024,Hk,-,,,,,,,
,,-28.63,24.31,37.0,,1.69,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-27.97,22.01,48.0,,1.91,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-27.97,22.01,26.0,,2.04,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-27.93,23.4,40.1,,1.749,,,,,,,,,Africa,Mukherjee2022,Stephenson 2024,Hk,-,,,,,,,
,,-27.93,23.4,42.2,,1.74,,,,,,,,,Africa,Mukherjee2022,Stephenson 2024,RF_other,RF_inversion,,,,,,,
,,-27.93,23.4,40.0,,1.79,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-27.9,28.07,41.0,,1.74,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-27.9,28.07,37.0,,1.78,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-27.86,27.29,39.0,,1.71,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-27.86,27.29,38.0,,1.75,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-27.55,26.18,38.5,,1.76,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-27.55,26.18,39.0,,1.73,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-27.4,153.04,33.0,,1.76,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-27.4,153.04,34.0,,1.71,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-27.07,24.17,39.0,,1.71,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-27.07,24.17,36.0,,1.72,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-27.0,25.02,38.5,,1.741,,,,,,,,,Africa,Nair2006,Stephenson 2024,Hk,-,,,,,,,
,,-27.0,25.02,38.0,,1.74,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-26.86,152.95,32.0,,1.81,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-26.86,152.95,33.0,,1.81,,,,,,,,,Australia,EARS,Stephenson 2024,Hk,,,,,,,,
,,-26.85031,134.88899,41.345,,-,,,,,,,,,Australia,Agrawal2023,Stephenson 2024,RF_other,-,,,,,,,
,,-26.85031,134.88899,48.465,,-,,,,,,,,,Australia,Agrawal2023,Stephenson 2024,RF_other,-,,,,,,,
,,-26.8,28.1,38.0,,-,,,,,,,,,Africa,Youssof2013,Stephenson 2024,Hk,-,,,,,,,
,,-26.8,28.1,40.0,,1.63,,,,,,,,,Africa,EARS,Stephenson 2024,Hk,,,,,,,,
,,-26.638,118.615,36.0,,1.706,,,,,,,,,Australia,Mukherjee2022,Stephenson 2024,Hk,-,,,,,,,
,,-26.638,118.615,36.2,,1.704,,,,,,,,,Australia,Mukherjee2022,Stephenson 2024,Hk,-,,,,,,,
,,-26.6,148.8,39.6,,-,,,,,,,,,GSC_global_database,77M.6,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-26.6,148.8,37.3,,-,,,,,,,,,GSC_global_database,77M.6,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-26.6,148.8,39.3,,-,,,,,,,,,GSC_global_database,77M.6,Stephenson 2024,Refraction,S_reversed,,,,,,,
,,-26.36104,134.44265,38.943,,-,,,,,,,,,Australia,Agrawal2023,Stephenson 2024,RF_other,-,,,,,,,
,,-26.36104,134.44265,45.173,,-,,,,,,,,,Australia,Agrawal2023,Stephenson 2024,RF_other,-,,,,,,,
,,-26.26839,133.7975,44.5,,-,,,,,,,,,Australia,Agrawal2023,Stephenson 2024,RF_other,-,,,,,,,
,,-26.26839,133.7975,48.95,,-,,,,,,,,,Australia,Agrawal2023,Stephenson 2024,RF_other,-,,,,,,,
,,-26.25,28.13,36.0,,-,,,,,,,,,GSC_global_database,56G.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-26.25,28.13,36.6,,-,,,,,,,,,GSC_global_database,59H.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-26.25,28.13,37.9,,-,,,,,,,,,GSC_global_database,56G.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-26.25,28.13,42.7,,-,,,,,,,,,GSC_global_database,52W.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
